timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
1084,-0.19500002,-0.85,-0.99738365,0.0239,17.0,18.258823,0.0,128.0,776.0,370.0,1.0,149.69127,30.0,88,16,5,10,4,10,5,9,7,12
1085,-0.19000003,-0.85,-0.9402916,0.0238,17.0,21.97647,0.0,61.0,934.0,374.0,1.0,142.9544,70.0,95,16,5,10,5,10,5,9,7,12
1086,1.0,-0.85,-0.98014355,0.0089,17.0,24.752941,0.0,16.0,1052.0,374.0,1.0,147.65694,30.0,89,16,5,10,5,10,5,9,7,12
1087,1.0,-0.85,-0.9864909,0.0072,17.0,29.97647,0.0,12.0,1274.0,375.0,1.0,148.40593,90.0,69,16,6,10,6,10,5,9,8,12
1088,1.0,-0.85,-1.0084362,0.011,17.0,30.964706,0.0,21.0,1316.0,375.0,1.0,150.99547,50.0,93,16,7,10,6,10,6,9,10,12
1089,1.0,-0.85,-1.0344949,0.0115,17.0,35.458824,0.0,22.0,1507.0,375.0,1.0,154.07039,50.0,86,16,8,10,7,10,6,9,10,12
1090,-0.21499999,-0.85,-1.0507208,0.0243,17.0,39.129414,0.0,118.0,1663.0,375.0,1.0,155.98506,70.0,85,16,9,10,8,10,7,9,11,12
1091,-0.18000004,-0.85,-1.0604497,0.0236,17.0,37.97647,0.0,59.0,1614.0,376.0,1.0,157.13307,90.0,88,16,8,10,8,10,7,9,10,12
1092,-0.17499995,-0.85,-1.0723253,0.0235,17.0,44.164707,0.0,56.0,1877.0,376.0,1.0,158.5344,70.0,87,16,9,10,8,10,7,9,12,12
1093,-0.21,-0.85,-1.114512,0.0242,17.0,42.705883,0.0,104.0,1815.0,376.0,1.0,163.5124,50.0,81,16,10,10,9,10,8,9,12,12
1094,1.0,-0.85,-1.0992271,0.0087,17.0,46.682354,0.0,16.0,1984.0,376.0,1.0,161.7088,70.0,76,16,10,10,9,10,8,9,12,12
1095,1.0,-0.85,-1.0651921,0.0065,17.0,42.77647,0.0,11.0,1818.0,376.0,1.0,157.69267,50.0,55,16,10,10,8,10,8,9,13,12
1096,-0.14000002,-0.85,-1.0912418,0.0228,17.0,48.91765,0.0,75.0,2079.0,376.0,1.0,160.76654,10.0,81,16,10,10,9,10,9,9,14,12
1097,-0.22499996,-0.85,-1.2092564,0.0245,17.0,53.341175,0.0,118.0,2267.0,377.0,1.0,174.69226,90.0,79,16,11,10,10,10,11,9,15,12
1098,-0.21999997,-0.85,-1.2316464,0.0244,17.0,48.988235,0.0,116.0,2082.0,376.0,1.0,177.33427,50.0,84,16,12,10,11,10,10,9,16,12
1099,1.0,-0.85,-1.2038214,0.0107,17.0,48.164707,0.0,20.0,2047.0,376.0,1.0,174.05093,90.0,77,16,12,10,11,10,11,9,16,12
1100,-0.18500003,-0.85,-1.1867554,0.0237,17.0,47.6,0.0,110.0,2023.0,377.0,1.0,172.03714,70.0,77,16,11,10,11,10,11,9,16,12
1101,-0.19000003,-0.85,-1.2342757,0.0238,17.0,50.258823,0.0,123.0,2136.0,376.0,1.0,177.64453,30.0,84,16,12,10,11,10,11,9,15,12
1102,1.0,-0.85,-1.2637898,0.0132,17.0,48.517647,0.0,26.0,2062.0,376.0,1.0,181.1272,50.0,82,16,13,10,12,10,11,9,16,12
1103,-0.21499999,-0.85,-1.2535639,0.0243,17.0,51.341175,0.0,115.0,2182.0,376.0,1.0,179.92053,70.0,87,16,11,10,8,10,9,9,11,12
1104,1.0,-0.85,-1.3050323,0.0087,17.0,47.788235,0.0,15.0,2031.0,376.0,1.0,185.9938,30.0,76,16,13,10,11,10,7,9,16,12
1105,-0.22499996,-0.85,-1.2883428,0.0245,17.0,49.2,0.0,60.0,2091.0,376.0,1.0,184.02446,30.0,76,16,9,10,11,10,11,9,16,12
1106,1.0,-0.85,-1.2463202,0.0078,17.0,49.6,0.0,13.0,2108.0,377.0,1.0,179.0658,30.0,64,16,12,10,10,10,12,9,14,12
1107,1.0,-0.85,-1.3189938,0.0052,17.0,49.788235,0.0,5.0,2116.0,377.0,1.0,187.64127,30.0,21,16,11,10,12,10,10,9,18,12
1108,1.0,-0.85,-1.2247995,0.005,17.0,49.55294,0.0,5.0,2106.0,377.0,1.0,176.52634,10.0,20,16,10,10,11,10,11,9,15,12
1109,1.0,-0.85,-1.1326022,0.0049,17.0,45.788235,0.0,4.0,1946.0,376.0,1.0,165.64706,30.0,17,16,11,10,10,10,10,9,15,12
1110,1.0,-0.85,-1.1024876,0.0047,17.0,44.164707,0.0,3.0,1877.0,377.0,1.0,162.09354,50.0,11,16,11,10,10,10,10,9,16,12
1111,1.0,-0.85,-0.94552714,0.0105,17.0,40.611763,0.0,19.0,1726.0,376.0,1.0,143.5722,90.0,79,16,9,10,12,10,10,9,16,12
1112,1.0,-0.85,-1.1324649,0.0044,17.0,33.24706,0.0,2.0,1413.0,377.0,1.0,165.63086,30.0,7,16,8,10,8,10,8,9,11,12
1113,1.0,-0.85,-1.0776293,0.0052,17.0,32.75294,0.0,5.0,1392.0,376.0,1.0,159.16026,30.0,26,16,9,10,9,10,8,9,14,12
1114,1.0,-0.85,-1.2364746,0.0048,17.0,32.588234,0.0,3.0,1385.0,376.0,1.0,177.904,30.0,14,16,8,10,7,10,8,9,10,12
1115,1.0,-0.85,-1.2153758,0.005,17.0,32.117645,0.0,4.0,1365.0,376.0,1.0,175.41434,30.0,19,16,8,10,7,10,7,9,9,12
1116,1.0,-0.85,-1.1108096,0.0065,17.0,34.517647,0.0,10.0,1467.0,376.0,1.0,163.07553,50.0,54,16,8,10,7,10,8,9,11,12
1117,1.0,-0.85,-1.1651186,0.0057,17.0,34.82353,0.0,7.0,1480.0,377.0,1.0,169.484,50.0,39,16,6,10,8,10,8,9,11,12
1118,1.0,-0.85,-1.2925656,0.0044,17.0,38.941177,0.0,2.0,1655.0,377.0,1.0,184.52274,70.0,6,16,9,10,10,10,9,9,13,12
1119,1.0,-0.85,-1.1179984,0.0109,17.0,41.458824,0.0,20.0,1762.0,376.0,1.0,163.92381,90.0,76,16,12,10,9,10,9,9,15,12
1120,-0.19500002,-0.85,-1.0733882,0.0239,17.0,40.964706,0.0,64.0,1741.0,376.0,1.0,158.6598,70.0,87,16,8,10,9,10,9,9,15,12
1121,1.0,-0.85,-1.0173639,0.0093,17.0,37.905884,0.0,18.0,1611.0,377.0,1.0,152.04893,50.0,82,16,7,10,7,10,9,9,10,12
1122,-0.19500002,-0.75,-1.0112135,0.0239,15.0,38.89412,0.0,99.0,1653.0,377.0,1.0,151.3232,50.0,80,16,11,10,9,10,9,9,11,12
1123,-0.26,-0.75,-1.0582722,0.0252,15.0,42.02667,0.0,127.0,1576.0,334.0,1.0,156.87613,70.0,85,16,9,10,10,10,9,9,11,12
1124,-0.28499997,-0.75,-1.0355035,0.0257,15.0,45.013332,0.0,139.0,1688.0,333.0,1.0,154.1894,10.0,85,16,7,10,9,10,10,9,10,12
