timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
263,1.0,-0.7,-1.2003802,0.0052,14.0,43.714287,0.0,5.0,1530.0,322.0,1.0,173.64487,70.0,22,17,10,11,10,11,10,10,11,13
264,-0.40000004,-0.7,-1.1454672,0.028,14.0,43.25714,0.0,75.0,1514.0,322.0,1.0,167.16513,70.0,82,17,10,11,10,11,10,10,11,13
265,1.0,-0.7,-1.1371243,0.0071,14.0,39.771427,0.0,10.0,1392.0,322.0,1.0,166.18066,10.0,50,17,9,11,9,11,9,10,11,13
266,-0.425,-0.7,-1.1544893,0.0285,14.0,46.657143,0.0,76.0,1633.0,322.0,1.0,168.22974,70.0,82,17,11,11,11,11,10,10,10,13
267,1.0,-0.7,-1.1242983,0.0161,14.0,41.914288,0.0,28.0,1467.0,322.0,1.0,164.6672,50.0,81,17,9,11,9,11,9,10,11,13
268,1.0,-0.7,-1.1233814,0.0179,14.0,42.4,0.0,31.0,1484.0,322.0,1.0,164.559,50.0,81,17,10,11,13,11,12,10,10,13
269,-0.41500002,-0.7,-1.1578243,0.0283,14.0,46.228573,0.0,84.0,1618.0,322.0,1.0,168.62326,70.0,78,17,14,11,9,11,10,10,13,13
270,1.0,-0.7,-1.1673237,0.0193,14.0,46.25714,0.0,33.0,1619.0,322.0,1.0,169.7442,30.0,74,17,9,11,8,11,8,10,14,13
271,-0.43499997,-0.7,-1.1676977,0.0287,14.0,48.57143,0.0,138.0,1700.0,322.0,1.0,169.78833,30.0,83,17,10,11,12,11,11,10,10,13
272,-0.40500003,-0.7,-1.1525457,0.0281,14.0,45.8,0.0,106.0,1603.0,323.0,1.0,168.0004,70.0,83,17,11,11,10,11,11,10,13,13
273,-0.34500003,-0.7,-1.1684921,0.0269,14.0,42.57143,0.0,47.0,1490.0,322.0,1.0,169.88206,50.0,76,17,9,11,8,11,9,10,13,13
274,1.0,-0.7,-1.1716039,0.0066,14.0,40.6,0.0,9.0,1421.0,322.0,1.0,170.24927,10.0,45,17,8,11,12,11,11,10,9,13
275,1.0,-0.7,-1.1594576,0.0057,14.0,41.42857,0.0,7.0,1450.0,322.0,1.0,168.816,10.0,36,17,11,11,8,11,9,10,10,13
276,1.0,-0.7,-1.127226,0.0078,14.0,44.42857,0.0,12.0,1555.0,322.0,1.0,165.01266,50.0,58,17,8,11,8,11,8,10,12,13
277,1.0,-0.7,-1.1765033,0.0062,14.0,41.057144,0.0,8.0,1437.0,322.0,1.0,170.8274,90.0,39,17,8,11,10,11,10,10,9,13
278,1.0,-0.7,-1.1735746,0.0058,14.0,44.57143,0.0,7.0,1560.0,322.0,1.0,170.4818,10.0,37,17,12,11,9,11,10,10,10,13
279,1.0,-0.7,-1.2217938,0.0056,14.0,47.6,0.0,6.0,1666.0,322.0,1.0,176.17166,90.0,27,17,9,11,10,11,8,10,12,13
280,1.0,-0.7,-1.1805588,0.0065,14.0,48.42857,0.0,9.0,1695.0,322.0,1.0,171.30594,10.0,43,17,10,11,13,11,12,10,10,13
281,1.0,-0.7,-1.1812402,0.0094,14.0,52.25714,0.0,15.0,1829.0,322.0,1.0,171.38634,70.0,71,17,14,11,11,11,12,10,12,13
282,1.0,-0.7,-1.2150102,0.0066,14.0,49.714287,0.0,9.0,1740.0,322.0,1.0,175.3712,50.0,42,17,11,11,10,11,9,10,15,13
283,1.0,-0.7,-1.2030903,0.0071,14.0,48.685715,0.0,10.0,1704.0,322.0,1.0,173.96466,10.0,46,17,10,11,13,11,12,10,10,13
284,1.0,-0.7,-1.2359937,0.0059,14.0,47.771427,0.0,7.0,1672.0,322.0,1.0,177.84726,50.0,33,17,14,11,10,11,12,10,12,13
285,1.0,-0.7,-1.2203323,0.0062,14.0,49.857143,0.0,8.0,1745.0,322.0,1.0,175.9992,70.0,37,17,10,11,9,11,9,10,14,13
286,1.0,-0.7,-1.1725277,0.0089,14.0,47.657143,0.0,14.0,1668.0,322.0,1.0,170.35826,50.0,66,17,8,11,12,11,10,10,10,13
287,1.0,-0.7,-1.1468446,0.0063,14.0,47.114285,0.0,9.0,1649.0,322.0,1.0,167.32767,50.0,43,17,13,11,11,11,11,10,10,13
288,1.0,-0.7,-1.1505396,0.006,14.0,44.54286,0.0,8.0,1559.0,323.0,1.0,167.76367,90.0,38,17,10,11,10,11,9,10,11,13
289,1.0,-0.7,-1.1654502,0.0056,14.0,46.685715,0.0,7.0,1634.0,322.0,1.0,169.52313,30.0,33,17,9,11,11,11,10,10,11,13
290,1.0,-0.7,-1.145491,0.0056,14.0,47.57143,0.0,7.0,1665.0,322.0,1.0,167.16794,50.0,33,17,12,11,10,11,11,10,11,13
291,-0.054999977,-0.7,-1.1480254,0.0211,14.0,48.4,0.0,38.0,1694.0,322.0,1.0,167.467,30.0,81,17,11,11,9,11,9,10,11,13
