timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
211,-0.32,-0.75,-1.1116819,0.0264,15.0,43.546665,0.0,54.0,1633.0,345.0,1.0,163.17847,50.0,85,16,10,11,7,10,9,10,13,13
212,-0.32999998,-0.75,-1.1205447,0.0266,15.0,42.826668,0.0,112.0,1606.0,345.0,1.0,164.22427,70.0,87,16,11,11,10,11,10,10,10,13
213,-0.35000002,-0.75,-1.1309254,0.027,15.0,45.68,0.0,82.0,1713.0,345.0,1.0,165.4492,90.0,80,16,10,11,11,10,10,10,11,13
214,-0.315,-0.75,-1.1144836,0.0263,15.0,44.34667,0.0,118.0,1663.0,345.0,1.0,163.50906,30.0,80,16,11,11,9,10,9,10,14,13
215,-0.32999998,-0.75,-1.1244153,0.0266,15.0,47.466667,0.0,91.0,1780.0,345.0,1.0,164.681,10.0,86,16,10,11,10,10,10,10,10,13
216,1.0,-0.75,-1.1002456,0.0149,15.0,46.426666,0.0,27.0,1741.0,345.0,1.0,161.82898,30.0,79,16,10,11,12,10,10,10,10,13
217,-0.33499998,-0.75,-1.1286006,0.0267,15.0,47.466667,0.0,54.0,1780.0,346.0,1.0,165.17487,70.0,80,16,11,11,9,10,9,10,15,13
218,-0.315,-0.75,-1.0930197,0.0263,15.0,46.266666,0.0,87.0,1735.0,346.0,1.0,160.97633,50.0,81,16,11,11,11,11,10,10,11,13
219,-0.32,-0.75,-1.1278927,0.0264,15.0,46.426666,0.0,119.0,1741.0,345.0,1.0,165.09134,30.0,80,16,11,11,13,11,10,10,11,13
220,-0.305,-0.75,-1.1282605,0.0261,15.0,48.773335,0.0,154.0,1829.0,346.0,1.0,165.13474,30.0,80,16,11,11,9,10,10,10,15,13
221,-0.33499998,-0.75,-1.1398519,0.0267,15.0,46.32,0.0,72.0,1737.0,345.0,1.0,166.50253,70.0,82,16,11,11,11,10,11,10,11,12
222,-0.11999996,-0.75,-1.1243163,0.0224,15.0,45.76,0.0,41.0,1716.0,345.0,1.0,164.66933,90.0,79,16,11,11,12,10,10,10,10,13
223,-0.325,-0.75,-1.1602402,0.0265,15.0,44.533333,0.0,90.0,1670.0,345.0,1.0,168.90834,70.0,81,16,10,11,9,10,9,10,14,13
224,-0.325,-0.75,-1.130278,0.0265,15.0,46.34667,0.0,85.0,1738.0,346.0,1.0,165.3728,50.0,81,16,11,11,10,10,10,10,11,13
225,-0.315,-0.75,-1.1397889,0.0263,15.0,44.34667,0.0,144.0,1663.0,346.0,1.0,166.49509,50.0,82,16,10,11,12,11,10,10,10,13
226,-0.33499998,-0.75,-1.1440966,0.0267,15.0,43.013332,0.0,129.0,1613.0,345.0,1.0,167.0034,90.0,81,16,10,11,8,11,9,10,13,13
227,1.0,-0.75,-1.1329294,0.0136,15.0,42.613335,0.0,24.0,1598.0,346.0,1.0,165.68567,50.0,78,16,10,11,9,11,10,10,10,13
228,-0.32,-0.75,-1.1481096,0.0264,15.0,42.96,0.0,72.0,1611.0,346.0,1.0,167.47693,10.0,83,16,10,11,11,10,10,10,9,13
229,1.0,-0.75,-1.126526,0.0099,15.0,41.493332,0.0,17.0,1556.0,345.0,1.0,164.93007,50.0,78,16,10,11,7,10,8,10,13,13
230,-0.33499998,-0.75,-1.1167197,0.0267,15.0,44.106667,0.0,55.0,1654.0,346.0,1.0,163.77293,90.0,81,16,11,11,8,10,10,10,10,13
231,-0.34500003,-0.75,-1.1329798,0.0269,15.0,45.2,0.0,63.0,1695.0,345.0,1.0,165.6916,90.0,83,16,10,11,9,10,10,10,9,13
232,1.0,-0.75,-1.1125203,0.0126,15.0,44.906666,0.0,22.0,1684.0,345.0,1.0,163.2774,90.0,79,16,10,11,9,10,9,10,12,13
233,-0.315,-0.75,-1.1134965,0.0263,15.0,45.866665,0.0,84.0,1720.0,346.0,1.0,163.3926,90.0,83,16,9,11,11,10,12,10,10,13
234,-0.32999998,-0.75,-1.0970479,0.0266,15.0,45.013332,0.0,64.0,1688.0,345.0,1.0,161.45166,50.0,83,16,9,11,8,11,10,10,12,13
235,-0.32,-0.75,-1.1050005,0.0264,15.0,44.64,0.0,57.0,1674.0,347.0,1.0,162.39006,30.0,77,16,13,11,11,11,10,10,11,13
236,-0.325,-0.75,-1.1054723,0.0265,15.0,43.626667,0.0,75.0,1636.0,345.0,1.0,162.44574,10.0,79,16,9,11,9,10,9,10,11,13
237,-0.31,-0.75,-1.1145825,0.0262,15.0,42.666668,0.0,100.0,1600.0,345.0,1.0,163.52074,10.0,84,16,8,11,8,10,9,10,12,13
238,1.0,-0.75,-1.1023034,0.0145,15.0,43.97333,0.0,26.0,1649.0,347.0,1.0,162.0718,10.0,80,16,12,11,11,10,9,10,11,13
239,1.0,-0.75,-1.0954899,0.0181,15.0,42.773335,0.0,33.0,1604.0,346.0,1.0,161.2678,10.0,81,16,8,11,9,10,10,10,10,13
240,-0.29000005,-0.75,-1.0842819,0.0258,15.0,42.8,0.0,72.0,1605.0,346.0,1.0,159.94527,70.0,83,16,7,11,7,10,10,10,11,13
241,-0.32,-0.75,-1.1149622,0.0264,15.0,46.826668,0.0,78.0,1756.0,347.0,1.0,163.56554,50.0,82,16,12,11,10,11,10,10,11,13
242,-0.29500005,-0.75,-1.0968237,0.0259,15.0,44.213333,0.0,142.0,1658.0,346.0,1.0,161.4252,50.0,82,16,8,11,12,11,9,10,10,13
243,-0.32999998,-0.75,-1.1136401,0.0266,15.0,42.986668,0.0,127.0,1612.0,346.0,1.0,163.40953,90.0,84,16,7,11,8,10,9,10,11,13
244,-0.32999998,-0.75,-1.1291627,0.0266,15.0,44.32,0.0,134.0,1662.0,346.0,1.0,165.2412,90.0,82,16,11,11,11,10,10,10,11,13
245,-0.31,-0.75,-1.1096644,0.0262,15.0,45.306667,0.0,137.0,1699.0,347.0,1.0,162.9404,50.0,82,16,10,11,12,10,9,10,11,13
246,-0.35000002,-0.75,-1.1289706,0.027,15.0,47.333332,0.0,145.0,1775.0,347.0,1.0,165.21854,10.0,82,16,11,11,8,10,9,10,12,13
247,-0.33999994,-0.75,-1.132365,0.0268,15.0,46.773335,0.0,125.0,1754.0,348.0,1.0,165.61906,70.0,81,16,11,11,11,10,11,10,11,13
248,-0.35000002,-0.75,-1.1271689,0.027,15.0,44.34667,0.0,104.0,1663.0,346.0,1.0,165.00594,50.0,81,16,10,11,11,10,10,10,11,13
249,-0.32999998,-0.75,-1.1130248,0.0266,15.0,46.16,0.0,75.0,1731.0,346.0,1.0,163.33693,70.0,81,16,10,11,8,11,9,10,12,13
250,-0.32,-0.75,-1.1197051,0.0264,15.0,43.626667,0.0,82.0,1636.0,346.0,1.0,164.1252,50.0,82,16,11,11,10,10,10,10,11,13
251,-0.325,-0.75,-1.1126232,0.0265,15.0,46.72,0.0,70.0,1752.0,346.0,1.0,163.28954,10.0,81,16,10,11,12,10,10,10,10,13
