timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
50,-0.475,-1.85,-0.3528121,0.0295,37.0,43.027027,0.0,130.0,3980.0,803.0,1.0,73.63183,90.0
51,-0.48499998,-1.85,-0.34574127,0.0297,37.0,49.07027,0.0,146.0,4539.0,804.0,1.0,72.79747,90.0
52,-0.48499998,-1.85,-0.34215027,0.0297,37.0,53.07027,0.0,141.0,4909.0,806.0,1.0,72.37373,30.0
53,-0.475,-1.85,-0.33673605,0.0295,37.0,42.345947,0.0,131.0,3917.0,812.0,1.0,71.734856,90.0
54,-0.48499998,-1.85,-0.30170733,0.0297,37.0,45.31892,0.0,131.0,4192.0,808.0,1.0,67.60146,30.0
55,-0.475,-1.85,-0.28657797,0.0295,37.0,46.767567,0.0,132.0,4326.0,810.0,1.0,65.8162,70.0
56,-0.48499998,-1.85,-0.2757502,0.0297,37.0,37.04865,0.0,147.0,3427.0,812.0,1.0,64.53852,90.0
57,-0.475,-1.85,-0.2500401,0.0295,37.0,44.67027,0.0,166.0,4132.0,812.0,1.0,61.504734,70.0
58,-0.475,-1.85,-0.23349577,0.0295,37.0,45.481083,0.0,141.0,4207.0,813.0,1.0,59.5525,50.0
59,-0.475,-1.85,-0.21997306,0.0295,37.0,34.043243,0.0,159.0,3149.0,812.0,1.0,57.95682,70.0
60,-0.48,-1.85,-0.22675931,0.0296,37.0,45.816216,0.0,160.0,4238.0,814.0,1.0,58.7576,10.0
61,-0.48,-1.85,-0.2101637,0.0296,37.0,44.48649,0.0,164.0,4115.0,816.0,1.0,56.799316,30.0
62,-0.48499998,-1.85,-0.19796132,0.0297,37.0,35.794594,0.0,138.0,3311.0,814.0,1.0,55.359436,50.0
63,-0.48999998,-1.85,-0.20128936,0.0298,37.0,47.21081,0.0,150.0,4367.0,814.0,1.0,55.752144,10.0
64,-0.48,-1.85,-0.21040095,0.0296,37.0,44.324326,0.0,138.0,4100.0,814.0,1.0,56.827312,10.0
65,-0.48999998,-1.85,-0.20274237,0.0298,37.0,36.075676,0.0,145.0,3337.0,814.0,1.0,55.9236,90.0
66,-0.48,-1.85,-0.20309943,0.0296,37.0,44.421623,0.0,131.0,4109.0,814.0,1.0,55.965733,30.0
67,-0.49499997,-1.85,-0.20271243,0.0299,37.0,39.945946,0.0,128.0,3695.0,814.0,1.0,55.920067,90.0
68,-0.48,-1.85,-0.20340903,0.0296,37.0,45.924324,0.0,149.0,4248.0,814.0,1.0,56.002266,10.0
69,-0.48499998,-1.85,-0.2018282,0.0297,37.0,39.686485,0.0,128.0,3671.0,814.0,1.0,55.815727,30.0
70,-0.475,-1.85,-0.2034608,0.0295,37.0,40.713512,0.0,130.0,3766.0,814.0,1.0,56.008373,90.0
71,-0.48,-1.85,-0.2030855,0.0296,37.0,45.913513,0.0,126.0,4247.0,814.0,1.0,55.96409,70.0
72,-0.48,-1.85,-0.20513609,0.0296,37.0,37.351353,0.0,123.0,3455.0,814.0,1.0,56.20606,70.0
73,-0.48,-1.85,-0.20517573,0.0296,37.0,44.075676,0.0,123.0,4077.0,814.0,1.0,56.210735,30.0
74,-0.48,-1.85,-0.21417621,0.0296,37.0,47.145947,0.0,125.0,4361.0,814.0,1.0,57.272793,10.0
75,-0.48499998,-1.85,-0.20784666,0.0297,37.0,37.286488,0.0,133.0,3449.0,814.0,1.0,56.525906,10.0
76,-0.48499998,-1.85,-0.21982978,0.0297,37.0,43.805405,0.0,135.0,4052.0,814.0,1.0,57.939915,30.0
77,-0.48,-1.85,-0.21375708,0.0296,37.0,44.281082,0.0,136.0,4096.0,814.0,1.0,57.223335,70.0
78,-0.49499997,-1.85,-0.21047205,0.0299,37.0,32.972973,0.0,131.0,3050.0,814.0,1.0,56.8357,50.0
79,-0.48,-1.65,-0.2104562,0.0296,33.0,41.156757,0.0,140.0,3807.0,814.0,1.0,56.83383,90.0
80,-0.54499996,-1.65,-0.23156495,0.0309,33.0,45.151516,0.0,123.0,3725.0,726.0,1.0,59.324665,10.0
81,-0.55499995,-1.65,-0.22356667,0.0311,33.0,34.70303,0.0,83.0,2863.0,726.0,1.0,58.380867,30.0
82,-0.54499996,-1.65,-0.2287565,0.0309,33.0,38.4,0.0,59.0,3168.0,726.0,1.0,58.993267,70.0
83,-0.54499996,-1.65,-0.23847635,0.0309,33.0,33.58788,0.0,135.0,2771.0,726.0,1.0,60.14021,30.0
84,-0.55999994,-1.65,-0.22894254,0.0312,33.0,24.424242,0.0,128.0,2015.0,726.0,1.0,59.01522,30.0
85,-0.54499996,-1.65,-0.2286641,0.0309,33.0,28.133333,0.0,128.0,2321.0,726.0,1.0,58.982365,70.0
86,-0.56500006,-1.65,-0.2334153,0.0313,33.0,24.763636,0.0,140.0,2043.0,727.0,1.0,59.543007,90.0
87,-0.54499996,-1.65,-0.21634021,0.0309,33.0,17.151516,0.0,125.0,1415.0,726.0,1.0,57.528145,10.0
88,-0.54999995,-1.65,-0.22710137,0.031,33.0,22.4,0.0,133.0,1848.0,726.0,1.0,58.797962,90.0
89,-0.54999995,-1.65,-0.23584805,0.031,33.0,17.963636,0.0,128.0,1482.0,726.0,1.0,59.83007,10.0
