timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
35,1.0,-3.2,-1.690961,0.013,64.0,23.329033,0.0,4.0,3616.0,1287.0,1.0,231.5334,90.0,2,9,<unknown>,<unknown>,23,6,23,5
36,1.0,-2.7,-1.7316419,0.015,54.0,25.509678,0.0,10.0,3954.0,1288.0,1.0,236.33374,90.0,32,9,<unknown>,<unknown>,21,6,19,5
37,1.0,-2.7,-1.9935745,0.0142,54.0,42.074074,0.0,7.0,5680.0,1128.0,1.0,267.2418,50.0,4,9,<unknown>,<unknown>,37,6,34,5
38,1.0,-2.7,-1.2365594,0.0122,54.0,14.540741,0.0,2.0,1963.0,1127.0,1.0,177.914,10.0,1,9,<unknown>,<unknown>,13,6,11,5
39,1.0,-2.7,-1.1983434,0.018,54.0,15.1037035,0.0,20.0,2039.0,1129.0,1.0,173.40453,30.0,83,9,<unknown>,<unknown>,13,6,12,5
40,-0.31500003,-2.7,-1.057426,0.0263,54.0,14.081482,0.0,64.0,1901.0,1135.0,1.0,156.77626,90.0,89,9,<unknown>,<unknown>,11,6,6,5
41,1.0,-3.5,-1.4180464,0.0171,70.0,31.94074,0.0,18.0,4312.0,1135.0,1.0,199.32947,70.0,64,9,<unknown>,<unknown>,28,6,10,5
42,-0.285,-3.5,-1.275935,0.0257,70.0,26.63871,0.0,99.0,4129.0,1301.0,1.0,182.56033,30.0,80,9,<unknown>,<unknown>,24,6,22,5
43,-0.28,-3.5,-1.2796085,0.0256,70.0,32.741936,0.0,127.0,5075.0,1303.0,1.0,182.9938,10.0,72,9,<unknown>,<unknown>,31,6,26,5
44,-0.27,-3.5,-1.4067277,0.0254,70.0,35.12258,0.0,139.0,5444.0,1303.0,1.0,197.99387,50.0,70,9,<unknown>,<unknown>,32,6,43,5
45,-0.28,-3.5,-1.4439955,0.0256,70.0,34.658066,0.0,130.0,5372.0,1303.0,1.0,202.39146,70.0,70,9,<unknown>,<unknown>,32,6,42,5
46,-0.30000004,-2.25,-1.4268683,0.026,45.0,32.954838,0.0,133.0,5108.0,1304.0,1.0,200.37047,30.0,69,9,<unknown>,<unknown>,33,6,25,5
47,-0.38000003,-2.2,-1.5374845,0.0276,44.0,41.18222,0.0,123.0,4633.0,947.0,1.0,213.42317,10.0,68,9,<unknown>,<unknown>,32,5,30,5
48,-0.38500002,-2.2,-1.6114272,0.0277,44.0,43.454544,0.0,127.0,4780.0,926.0,1.0,222.1484,70.0,68,9,<unknown>,<unknown>,32,5,38,5
49,-0.39499998,-2.15,-1.5891045,0.0279,43.0,44.163635,0.0,132.0,4858.0,926.0,1.0,219.51433,90.0,71,9,<unknown>,<unknown>,29,5,28,5
50,-0.40000007,-1.95,-1.6356305,0.028,39.0,42.455814,0.0,130.0,4564.0,905.0,1.0,225.0044,90.0,67,9,<unknown>,<unknown>,34,5,25,4
51,-0.44,-1.95,-1.590868,0.0288,39.0,47.446156,0.0,146.0,4626.0,820.0,1.0,219.72243,90.0,73,9,<unknown>,<unknown>,24,5,27,4
52,-0.45,-1.95,-1.5289198,0.029,39.0,48.523075,0.0,141.0,4731.0,820.0,1.0,212.41254,30.0,63,9,<unknown>,<unknown>,32,5,31,4
