timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
375,1.0,-1.9,-1.7530254,0.0161,38.0,44.34737,0.0,11.0,4213.0,799.0,1.0,238.857,90.0,24,10,<unknown>,<unknown>,40,5,21,4
376,-0.36500004,-2.55,-1.2952917,0.0273,51.0,21.019608,0.0,75.0,2680.0,1067.0,1.0,184.84442,90.0,80,10,<unknown>,<unknown>,21,5,17,5
377,-0.3450001,-2.55,-1.3133277,0.0269,51.0,20.72157,0.0,118.0,2642.0,1072.0,1.0,186.97267,90.0,84,10,<unknown>,<unknown>,15,5,18,5
378,-0.335,-2.55,-1.2995576,0.0267,51.0,19.756863,0.0,116.0,2519.0,1072.0,1.0,185.3478,90.0,83,10,<unknown>,<unknown>,17,5,17,5
379,1.0,-2.55,-1.5938525,0.018,51.0,26.635294,0.0,20.0,3396.0,1072.0,1.0,220.0746,70.0,67,10,<unknown>,<unknown>,25,5,21,5
380,-0.3450001,-2.55,-1.2634164,0.0269,51.0,17.882353,0.0,110.0,2280.0,1073.0,1.0,181.08313,10.0,85,10,<unknown>,<unknown>,13,5,16,5
381,-0.42000005,-2.1000001,-1.2268933,0.0284,42.0,22.447618,0.0,123.0,2357.0,883.0,1.0,176.7734,30.0,82,10,<unknown>,<unknown>,15,5,15,5
382,-0.045000017,-2.1000001,-1.5101012,0.0209,42.0,27.447618,0.0,26.0,2882.0,884.0,1.0,210.19194,10.0,74,10,<unknown>,<unknown>,27,5,22,4
383,-0.45500007,-2.1000001,-1.3443044,0.0291,42.0,28.323809,0.0,115.0,2974.0,883.0,1.0,190.62793,70.0,80,10,<unknown>,<unknown>,21,5,22,4
384,1.0,-2.3500001,-1.7225299,0.0171,47.0,33.795746,0.0,15.0,3971.0,984.0,1.0,235.25853,50.0,51,10,<unknown>,<unknown>,25,5,21,4
385,-0.39,-2.3500001,-1.3440932,0.0278,47.0,21.19149,0.0,60.0,2490.0,988.0,1.0,190.603,10.0,86,10,<unknown>,<unknown>,14,5,14,4
386,1.0,-2.3500001,-1.8142915,0.0163,47.0,31.574469,0.0,13.0,3710.0,988.0,1.0,246.0864,90.0,43,10,<unknown>,<unknown>,28,5,26,4
387,1.0,-2.3500001,-1.8299197,0.0137,47.0,36.178722,0.0,5.0,4251.0,988.0,1.0,247.93053,10.0,4,10,<unknown>,<unknown>,29,5,24,4
388,1.0,-2.3500001,-1.8294322,0.0137,47.0,36.425533,0.0,5.0,4280.0,988.0,1.0,247.873,30.0,3,10,<unknown>,<unknown>,28,5,26,4
389,1.0,-2.3500001,-1.7001102,0.0133,47.0,30.80851,0.0,4.0,3620.0,988.0,1.0,232.613,30.0,2,10,<unknown>,<unknown>,25,5,21,4
390,1.0,-2.3500001,-1.516952,0.0126,47.0,24.41702,0.0,3.0,2869.0,988.0,1.0,211.00034,10.0,1,10,<unknown>,<unknown>,19,5,17,4
391,1.0,-3.25,-1.5844073,0.018,65.0,16.64516,0.0,19.0,2580.0,1288.0,1.0,218.96007,30.0,77,10,<unknown>,<unknown>,12,6,12,5
392,1.0,-3.25,-1.2376344,0.0122,65.0,12.632258,0.0,2.0,1958.0,1289.0,1.0,178.04086,10.0,1,10,<unknown>,<unknown>,13,6,12,5
393,1.0,-3.25,-1.8517491,0.0134,65.0,28.083872,0.0,5.0,4353.0,1290.0,1.0,250.5064,30.0,3,10,<unknown>,<unknown>,29,6,27,5
394,1.0,-3.25,-1.5261129,0.0125,65.0,18.516129,0.0,3.0,2870.0,1290.0,1.0,212.08133,30.0,1,10,<unknown>,<unknown>,18,6,18,5
395,1.0,-3.25,-1.7059108,0.013,65.0,23.393549,0.0,4.0,3626.0,1290.0,1.0,233.29747,10.0,2,10,<unknown>,<unknown>,23,6,23,5
396,1.0,-2.5,-1.9029526,0.0153,50.0,29.088,0.0,10.0,3636.0,1049.0,1.0,256.5484,50.0,34,10,<unknown>,<unknown>,26,6,22,5
397,1.0,-2.5,-1.9667542,0.0143,50.0,45.072,0.0,7.0,5634.0,1048.0,1.0,264.077,30.0,4,10,<unknown>,<unknown>,35,5,36,5
398,1.0,-2.5,-1.2439203,0.0123,50.0,15.4,0.0,2.0,1925.0,1048.0,1.0,178.7826,90.0,1,10,<unknown>,<unknown>,12,5,12,5
399,1.0,-3.0,-1.287996,0.0181,60.0,13.3133335,0.0,20.0,1997.0,1251.0,1.0,183.98354,30.0,83,10,<unknown>,<unknown>,11,6,10,5
400,-0.30500004,-3.0,-0.99175084,0.0261,60.0,11.366667,0.0,64.0,1705.0,1260.0,1.0,149.0266,70.0,93,10,<unknown>,<unknown>,9,6,6,5
401,1.0,-3.5,-1.3512385,0.017,70.0,25.486666,0.0,18.0,3823.0,1261.0,1.0,191.44614,30.0,72,10,<unknown>,<unknown>,9,6,19,5
402,-0.285,-3.5,-1.2963815,0.0257,70.0,23.070969,0.0,99.0,3576.0,1302.0,1.0,184.973,50.0,81,10,<unknown>,<unknown>,6,6,18,5
403,-0.275,-3.5,-1.3252548,0.0255,70.0,26.954838,0.0,127.0,4178.0,1303.0,1.0,188.38007,50.0,76,10,<unknown>,<unknown>,18,6,26,5
404,-0.28,-3.5,-1.3305349,0.0256,70.0,33.412903,0.0,139.0,5179.0,1303.0,1.0,189.00313,10.0,70,10,<unknown>,<unknown>,25,6,30,5
405,-0.28,-3.5,-1.4673215,0.0256,70.0,34.84516,0.0,130.0,5401.0,1303.0,1.0,205.14394,70.0,71,10,<unknown>,<unknown>,34,6,31,5
406,-0.31500003,-2.3,-1.4038869,0.0263,46.0,34.309677,0.0,133.0,5318.0,1303.0,1.0,197.65866,90.0,68,10,<unknown>,<unknown>,46,6,34,5
407,-0.39,-2.15,-1.568612,0.0278,43.0,43.06087,0.0,123.0,4952.0,968.0,1.0,217.0962,70.0,64,10,<unknown>,<unknown>,34,5,34,4
408,-0.42000005,-2.15,-1.6187881,0.0284,43.0,45.255814,0.0,127.0,4865.0,904.0,1.0,223.017,70.0,67,10,<unknown>,<unknown>,32,5,32,4
409,-0.40000007,-2.15,-1.5828103,0.028,43.0,43.627907,0.0,132.0,4690.0,904.0,1.0,218.7716,70.0,70,10,<unknown>,<unknown>,32,5,29,4
410,-0.40000007,-2.15,-1.5960966,0.028,43.0,42.52093,0.0,130.0,4571.0,905.0,1.0,220.3394,10.0,68,10,<unknown>,<unknown>,30,5,30,4
411,-0.40500006,-2.15,-1.584979,0.0281,43.0,42.260464,0.0,146.0,4543.0,904.0,1.0,219.02753,90.0,68,10,<unknown>,<unknown>,28,5,30,4
412,-0.40500006,-2.15,-1.5135915,0.0281,43.0,39.63721,0.0,141.0,4261.0,904.0,1.0,210.6038,50.0,71,10,<unknown>,<unknown>,30,5,27,4
413,-0.42000005,-1.85,-1.5101938,0.0284,37.0,38.502327,0.0,131.0,4139.0,904.0,1.0,210.20287,70.0,68,10,<unknown>,<unknown>,30,5,29,4
414,-0.505,-1.85,-1.4646481,0.0301,37.0,43.935135,0.0,131.0,4064.0,778.0,1.0,204.82848,10.0,66,10,<unknown>,<unknown>,25,5,31,4
415,-0.495,-1.85,-1.4577689,0.0299,37.0,42.54054,0.0,132.0,3935.0,778.0,1.0,204.01674,10.0,66,10,<unknown>,<unknown>,31,5,29,4
416,-0.5,-1.85,-1.4181966,0.03,37.0,48.508106,0.0,147.0,4487.0,778.0,1.0,199.3472,10.0,66,10,<unknown>,<unknown>,23,5,37,4
417,-0.5,-1.85,-1.3523724,0.03,37.0,49.72973,0.0,166.0,4600.0,779.0,1.0,191.57994,10.0,72,10,<unknown>,<unknown>,27,5,28,4
418,-0.485,-1.85,-1.3534435,0.0297,37.0,46.95135,0.0,141.0,4343.0,780.0,1.0,191.70633,70.0,67,10,<unknown>,<unknown>,32,5,27,4
419,-0.5,-1.85,-1.3180413,0.03,37.0,48.745945,0.0,159.0,4509.0,780.0,1.0,187.52887,10.0,66,10,<unknown>,<unknown>,24,5,36,4
420,-0.505,-1.85,-1.3185357,0.0301,37.0,48.35676,0.0,160.0,4473.0,781.0,1.0,187.5872,30.0,75,10,<unknown>,<unknown>,23,5,30,4
421,-0.495,-1.85,-1.3165954,0.0299,37.0,45.848648,0.0,164.0,4241.0,779.0,1.0,187.35826,70.0,69,10,<unknown>,<unknown>,32,5,24,4
422,-0.51000005,-1.85,-1.357318,0.0302,37.0,45.17838,0.0,138.0,4179.0,781.0,1.0,192.16353,50.0,67,10,<unknown>,<unknown>,25,5,31,4
423,-0.51000005,-1.85,-1.3139125,0.0302,37.0,43.243244,0.0,150.0,4000.0,785.0,1.0,187.04167,90.0,76,10,<unknown>,<unknown>,21,5,33,4
424,-0.505,-1.85,-1.3618193,0.0301,37.0,43.6,0.0,138.0,4033.0,782.0,1.0,192.69467,50.0,66,10,<unknown>,<unknown>,31,5,26,4
425,-0.51000005,-1.85,-1.3594741,0.0302,37.0,41.243244,0.0,145.0,3815.0,784.0,1.0,192.41794,50.0,67,10,<unknown>,<unknown>,27,5,27,4
426,-0.5,-1.85,-1.3520373,0.03,37.0,38.994595,0.0,131.0,3607.0,784.0,1.0,191.5404,70.0,75,10,<unknown>,<unknown>,21,5,27,4
427,-0.5,-1.85,-1.35387,0.03,37.0,37.102703,0.0,128.0,3432.0,785.0,1.0,191.75667,70.0,66,10,<unknown>,<unknown>,29,5,22,4
428,-0.51000005,-1.85,-1.3778124,0.0302,37.0,36.78919,0.0,149.0,3403.0,787.0,1.0,194.58186,10.0,64,10,<unknown>,<unknown>,27,5,23,4
429,-0.51500005,-1.85,-1.3398464,0.0303,37.0,32.735134,0.0,128.0,3028.0,786.0,1.0,190.10187,50.0,72,10,<unknown>,<unknown>,21,5,24,4
430,-0.505,-1.85,-1.3902469,0.0301,37.0,28.864864,0.0,130.0,2670.0,786.0,1.0,196.04913,70.0,69,10,<unknown>,<unknown>,24,5,20,4
431,-0.5,-1.85,-1.3502955,0.03,37.0,28.583784,0.0,126.0,2644.0,787.0,1.0,191.33487,50.0,67,10,<unknown>,<unknown>,26,5,19,4
432,-0.5,-1.85,-1.3925108,0.03,37.0,23.967567,0.0,123.0,2217.0,786.0,1.0,196.31627,70.0,77,10,<unknown>,<unknown>,18,5,19,4
433,-0.5,-1.85,-1.346908,0.03,37.0,24.043243,0.0,123.0,2224.0,787.0,1.0,190.93513,90.0,77,10,<unknown>,<unknown>,17,5,17,4
434,-0.49,-1.85,-1.3636289,0.0298,37.0,22.4,0.0,125.0,2072.0,789.0,1.0,192.9082,90.0,77,10,<unknown>,<unknown>,19,5,14,4
435,-0.495,-1.85,-1.3489131,0.0299,37.0,21.945946,0.0,133.0,2030.0,787.0,1.0,191.17174,90.0,86,10,<unknown>,<unknown>,10,5,15,4
436,-0.505,-1.85,-1.3393819,0.0301,37.0,22.756756,0.0,135.0,2105.0,788.0,1.0,190.04707,50.0,86,10,<unknown>,<unknown>,10,5,14,4
437,-0.52500004,-1.85,-1.3616222,0.0305,37.0,23.945946,0.0,136.0,2215.0,789.0,1.0,192.67142,30.0,83,10,<unknown>,<unknown>,14,5,12,4
438,-0.54,-1.65,-1.3704474,0.0308,33.0,27.127274,0.0,131.0,2238.0,702.0,1.0,193.7128,50.0,91,10,<unknown>,<unknown>,13,5,13,4
439,-0.56500006,-1.65,-1.3743271,0.0313,33.0,28.339394,0.0,140.0,2338.0,702.0,1.0,194.1706,90.0,91,10,<unknown>,<unknown>,15,5,13,4
440,-0.57500005,-1.65,-1.3777344,0.0315,33.0,34.70303,0.0,123.0,2863.0,706.0,1.0,194.57266,70.0,87,10,<unknown>,<unknown>,15,5,14,4
441,-0.58500004,-1.65,-1.3904378,0.0317,33.0,35.49091,0.0,83.0,2928.0,706.0,1.0,196.07167,50.0,91,10,<unknown>,<unknown>,17,5,15,4
442,-0.57500005,-1.65,-1.3806057,0.0315,33.0,38.036366,0.0,59.0,3138.0,707.0,1.0,194.91147,90.0,87,10,<unknown>,<unknown>,19,5,15,4
443,-0.58,-1.65,-1.4036068,0.0316,33.0,41.00606,0.0,135.0,3383.0,707.0,1.0,197.6256,10.0,78,10,<unknown>,<unknown>,19,5,17,4
444,-0.58500004,-1.65,-1.4021622,0.0317,33.0,46.521214,0.0,128.0,3838.0,708.0,1.0,197.45514,50.0,73,10,<unknown>,<unknown>,22,5,20,4
445,-0.57500005,-1.65,-1.4155638,0.0315,33.0,48.109093,0.0,128.0,3969.0,709.0,1.0,199.03653,50.0,73,10,<unknown>,<unknown>,24,5,20,4
446,-0.59000015,-1.65,-1.3919322,0.0318,33.0,49.369698,0.0,140.0,4073.0,709.0,1.0,196.248,10.0,73,10,<unknown>,<unknown>,24,5,21,4
447,-0.58,-1.65,-1.4170481,0.0316,33.0,49.224243,0.0,125.0,4061.0,709.0,1.0,199.21167,10.0,70,10,<unknown>,<unknown>,25,5,25,4
448,-0.595,-1.65,-1.4547876,0.0319,33.0,51.757576,0.0,133.0,4270.0,711.0,1.0,203.66493,30.0,69,10,<unknown>,<unknown>,28,5,24,4
449,-0.58,-1.65,-1.4547672,0.0316,33.0,52.581818,0.0,128.0,4338.0,711.0,1.0,203.66254,90.0,70,10,<unknown>,<unknown>,27,5,25,4
450,-0.58500004,-1.65,-1.466313,0.0317,33.0,33.975758,0.0,138.0,2803.0,711.0,1.0,205.02493,30.0,79,10,<unknown>,<unknown>,12,5,12,4
451,-0.57500005,-1.65,-1.5157214,0.0315,33.0,33.333332,0.0,155.0,2750.0,712.0,1.0,210.85513,90.0,80,10,<unknown>,<unknown>,19,5,8,4
452,-0.58500004,-1.65,-1.5032593,0.0317,33.0,38.09697,0.0,207.0,3143.0,715.0,1.0,209.3846,90.0,79,10,<unknown>,<unknown>,17,5,12,4
453,-0.595,-1.65,-1.6034101,0.0319,33.0,42.37576,0.0,255.0,3496.0,713.0,1.0,221.2024,90.0,69,10,<unknown>,<unknown>,19,5,19,4
454,-0.57500005,-1.65,-1.5618169,0.0315,33.0,44.5697,0.0,262.0,3677.0,715.0,1.0,216.2944,70.0,73,10,<unknown>,<unknown>,27,5,18,4
455,-0.57500005,-1.65,-1.6404616,0.0315,33.0,47.00606,0.0,207.0,3878.0,716.0,1.0,225.57446,30.0,73,10,<unknown>,<unknown>,24,5,25,4
456,-0.59000015,-1.65,-1.599556,0.0318,33.0,48.92121,0.0,142.0,4036.0,715.0,1.0,220.7476,10.0,64,10,<unknown>,<unknown>,24,5,25,4
457,-0.58500004,-1.65,-1.6709176,0.0317,33.0,49.878788,0.0,65.0,4115.0,714.0,1.0,229.16827,50.0,74,10,<unknown>,<unknown>,33,5,26,4
458,-0.0049999915,-2.05,-1.852866,0.0201,41.0,63.442425,0.0,20.0,5234.0,716.0,1.0,250.6382,50.0,46,10,<unknown>,<unknown>,30,5,36,4
459,1.0,-2.05,-1.8089656,0.0193,41.0,50.878048,0.0,21.0,5215.0,881.0,1.0,245.45793,70.0,47,10,<unknown>,<unknown>,31,5,33,4
460,-0.44,-2.05,-1.5237565,0.0288,41.0,39.18049,0.0,65.0,4016.0,884.0,1.0,211.80327,90.0,75,10,<unknown>,<unknown>,29,5,25,4
461,-0.44,-2.05,-1.4640802,0.0288,41.0,39.043903,0.0,54.0,4002.0,884.0,1.0,204.76146,50.0,76,10,<unknown>,<unknown>,28,5,26,4
462,-0.45,-2.05,-1.4181107,0.029,41.0,39.736584,0.0,103.0,4073.0,884.0,1.0,199.33707,30.0,67,10,<unknown>,<unknown>,21,5,27,4
463,-0.42500004,-2.05,-1.3993627,0.0285,41.0,39.063416,0.0,114.0,4004.0,884.0,1.0,197.1248,30.0,75,10,<unknown>,<unknown>,26,5,24,4
464,-0.44,-1.6,-1.3835447,0.0288,32.0,37.736584,0.0,118.0,3868.0,884.0,1.0,195.25827,50.0,77,10,<unknown>,<unknown>,32,5,26,4
465,-0.67,-1.6,-1.4096897,0.0334,32.0,49.9375,0.0,109.0,3995.0,697.0,1.0,198.34338,10.0,61,10,<unknown>,<unknown>,26,5,24,4
466,1.0,-2.05,-1.6656413,0.0191,41.0,64.775,0.0,16.0,5182.0,694.0,1.0,228.54567,70.0,47,10,<unknown>,<unknown>,43,5,26,4
